id,temperature,created_at,sound,light,dust,fan,motion
"'6723', ","'25.85',"," '2026-05-07  23:00:30',", '127.05',", '255'",", '0.0098'",", '0'",", '0'"
"'6724', ","'25.82',"," '2026-05-07  23:00:45',"," '10.17',"," '255',"," '0.0345',"," '0',", '0'
"'6725', ","'26.22',"," '2026-05-07  23:01:00',"," '17.29',"," '255',"," '0.0142',"," '1',", '0'
"'6726', ","'26.27',"," '2026-05-07  23:01:15',"," '18.83',"," '255',"," '0.0291',"," '1',", '1'
"'6727', ","'26.05',"," '2026-05-07  23:01:30',"," '9.26', ","'255', ","'0.0087', ","'1', ",'0'
"'6728', ","'25.88',"," '2026-05-07  23:01:45',"," '9.3', '","255', '","0.0167', '","0', '",0'
"'6729', ","'26.13',"," '2026-05-07  23:02:00',"," '17.35',"," '255',"," '0.0117',"," '1',", '0'
"'6730', ","'25.97',"," '2026-05-07  23:02:15',"," '9.4', '","255', '","0.0107', '","0', '",0'
"'6731', ","'26.31',"," '2026-05-07  23:02:30',"," '17.75',"," '255',"," '0.0286',"," '1',", '1'
"'6732', ","'26.14',"," '2026-05-07  23:02:45',"," '13.76',"," '255',"," '0.0325',"," '1',", '0'
"'6733', ","'26.16',"," '2026-05-07  23:03:00',"," '10.78',"," '255',"," '0.0185',"," '1',", '1'
"'6734', ","'25.89',"," '2026-05-07  23:03:15',", '126.01',", '255'",", '0.0176'",", '0'",", '0'"
"'6735', ","'25.91',"," '2026-05-07  23:03:30',"," '18.6', ","'255', ","'0.016', '","0', '",1'
"'6736', ","'26.13',"," '2026-05-07  23:03:45',"," '17.92',"," '255',"," '0.0252',"," '1',", '0'
"'6737', ","'25.99',"," '2026-05-07  23:04:00',"," '13.62',"," '255',"," '0.0102',"," '0',", '0'
"'6738', ","'25.84',"," '2026-05-07  23:04:15',"," '17.18',"," '255',"," '0.0286',"," '0',", '0'
"'6739', ","'26.28',"," '2026-05-07  23:04:30',"," '15.21',"," '255',"," '0.017', ","'1', ",'1'
"'6740', ","'25.88',"," '2026-05-07  23:04:45',"," '17.33',"," '255',"," '0.0288',"," '0',", '0'
"'6741', ","'26.07',"," '2026-05-07  23:05:00',"," '10.87',"," '255',"," '0.0228',"," '1',", '0'
"'6742', ","'26.28',"," '2026-05-07  23:05:15',"," '11.55',"," '255',"," '0.0132',"," '1',", '1'
"'6743', ","'25.81',"," '2026-05-07  23:05:30',"," '13.83',"," '255',"," '0.0081',"," '0',", '1'
"'6744', ","'26.06',"," '2026-05-07  23:05:45',"," '14.44',"," '255',"," '0.0095',"," '1',", '0'
"'6745', ","'25.96',"," '2026-05-07  23:06:00',"," '13.98',"," '255',"," '0.0343',"," '0',", '0'
"'6746', ","'26.06',"," '2026-05-07  23:06:15',"," '18.71',"," '255',"," '0.0092',"," '1',", '0'
"'6747', ","'25.72',"," '2026-05-07  23:06:30',"," '17.81',"," '255',"," '0.0286',"," '0',", '1'
